timestamp,rainfall_mm_hr,river_level_m,slope_proxy,hist_density
2024-07-26T00:00:00+00:00,15.0,2.0,28.0,20.0
2024-07-26T06:00:00+00:00,18.5,2.35,28.0,20.0
2024-07-26T12:00:00+00:00,22.0,2.7,28.0,20.0
2024-07-26T18:00:00+00:00,25.5,3.05,28.0,20.0
2024-07-27T00:00:00+00:00,29.0,3.4,28.0,20.0
2024-07-27T06:00:00+00:00,32.5,3.75,28.0,20.0
2024-07-27T12:00:00+00:00,36.0,4.1,28.0,20.0
2024-07-27T18:00:00+00:00,39.5,4.45,28.0,20.0
2024-07-28T00:00:00+00:00,43.0,4.8,28.0,20.0
2024-07-28T06:00:00+00:00,46.5,5.15,28.0,20.0
2024-07-28T12:00:00+00:00,50.0,5.5,28.0,20.0
2024-07-28T18:00:00+00:00,53.5,5.85,28.0,20.0
2024-07-29T00:00:00+00:00,57.0,6.2,28.0,20.0
2024-07-29T06:00:00+00:00,60.5,6.55,28.0,20.0
2024-07-29T12:00:00+00:00,64.0,6.9,28.0,20.0
2024-07-29T18:00:00+00:00,67.5,7.25,28.0,20.0
2024-07-30T00:00:00+00:00,71.0,7.6,28.0,20.0
2024-07-30T06:00:00+00:00,74.5,7.95,28.0,20.0
2024-07-30T12:00:00+00:00,78.0,8.3,28.0,20.0
2024-07-30T18:00:00+00:00,81.5,8.65,28.0,20.0
2024-07-31T00:00:00+00:00,85.0,9.0,28.0,20.0
2024-07-31T06:00:00+00:00,88.5,9.35,28.0,20.0
2024-07-31T12:00:00+00:00,92.0,9.7,28.0,20.0
2024-07-31T18:00:00+00:00,95.5,10.05,28.0,20.0
2024-08-01T00:00:00+00:00,99.0,10.4,28.0,20.0
2024-08-01T06:00:00+00:00,102.5,10.75,28.0,20.0
2024-08-01T12:00:00+00:00,106.0,11.1,28.0,20.0
2024-08-01T18:00:00+00:00,109.5,11.45,28.0,20.0
2024-08-02T00:00:00+00:00,113.0,11.8,28.0,20.0
2024-08-02T06:00:00+00:00,130,14,28.0,20.0
2024-08-02T12:00:00+00:00,130,14,28.0,20.0
2024-08-02T18:00:00+00:00,130,14,28.0,20.0
2024-08-03T00:00:00+00:00,130,14,28.0,20.0
2024-08-03T06:00:00+00:00,130,14,28.0,20.0
2024-08-03T12:00:00+00:00,130,14,28.0,20.0
2024-08-03T18:00:00+00:00,130,14,28.0,20.0
2024-08-04T00:00:00+00:00,130,14,28.0,20.0
2024-08-04T06:00:00+00:00,130,14,28.0,20.0
2024-08-04T12:00:00+00:00,130,14,28.0,20.0
2024-08-04T18:00:00+00:00,130,14,28.0,20.0
